Year,Month,Month Start Date,Community,Total Complaints,Total Number of Callers,data_as_of,data_loaded_at
2023,1,2023/01/01,Soquel,2074,27,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,1,2023/01/01,San Francisco,1699,17,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,1,2023/01/01,Woodside,961,5,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,1,2023/01/01,Foster City,79,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,1,2023/01/01,Santa Cruz,5241,40,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Hillsborough,31,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Scotts Valley,3595,25,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,2,2023/02/01,San Carlos,66,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,Richmond,680,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Soquel,3291,26,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Scotts Valley,3863,25,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,3,2023/03/01,South San Francisco,259,19,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,4,2023/04/01,Oakland,2175,11,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,5,2023/05/01,Pacifica,1961,24,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,2,2023/02/01,Pacifica,892,17,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,5,2023/05/01,Brisbane,330,20,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,8,2023/08/01,Soquel,3889,27,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,Capitola,336,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,10,2021/10/01,Ben Lomond,5,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,2,2023/02/01,Felton,40,3,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,6,2023/06/01,Fremont,323,1,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,6,2023/06/01,Sf,2,2,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,7,2023/07/01,Emerald Hills,624,7,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,9,2023/09/01,San Francisco,3347,21,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2023,7,2023/07/01,San Bruno,226,6,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
2021,8,2021/08/01,Mountain View,2840,25,2024/03/28 10:07:28 AM,2024/03/28 10:17:28 AM
